image,scab,healthy,frog_eye_leaf_spot,complex,rust,powdery_mildew
elastic_images/elastic_frog_eye_leaf_spot_2866.png,0,0,1,1,0,0
elastic_images/elastic_frog_eye_leaf_spot_6671.png,1,0,1,1,0,0
elastic_images/elastic_frog_eye_leaf_spot_8651.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_5974.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_14271.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_3942.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_13164.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_12465.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_13556.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_12831.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_3729.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_14090.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_10532.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_5490.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_2447.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_6273.png,0,0,1,1,0,0
elastic_images/elastic_frog_eye_leaf_spot_9169.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_10684.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_4309.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_3918.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_9100.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_14672.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_12562.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_8238.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_3958.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_12191.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_1450.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_9293.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_6693.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_8949.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_12169.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_3528.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_5029.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_1003.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_2868.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_4041.png,0,0,1,1,0,0
elastic_images/elastic_frog_eye_leaf_spot_12821.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_1909.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_11147.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_5125.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_6142.png,0,0,1,0,0,0
elastic_images/elastic_frog_eye_leaf_spot_11352.png,1,0,1,1,0,0
elastic_images/elastic_frog_eye_leaf_spot_3233.png,0,0,1,0,0,0
