image,scab,healthy,frog_eye_leaf_spot,complex,rust,powdery_mildew
gaus_images/gaus_frog_eye_leaf_spot_3320.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_7525.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_4790.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10332.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14733.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_39.png,0,0,1,0,1,0
gaus_images/gaus_frog_eye_leaf_spot_4090.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11783.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_14196.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10935.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6629.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5934.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_4802.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_6011.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_13851.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5185.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_601.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_9887.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_4375.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_8509.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6351.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_249.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10532.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_3160.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6693.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14324.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_13895.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_2594.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_13674.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6857.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12899.png,0,0,1,0,1,0
gaus_images/gaus_frog_eye_leaf_spot_1849.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12248.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14694.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10224.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14661.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14800.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_2475.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_13487.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_13380.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_2195.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1494.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1235.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1908.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5105.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10004.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12181.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1223.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6663.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11826.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_6380.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5480.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_4168.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_3987.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6019.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_9474.png,0,0,1,0,1,0
gaus_images/gaus_frog_eye_leaf_spot_5110.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_11692.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_8176.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12234.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_919.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_7291.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_10117.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11267.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6931.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1820.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_2142.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_7978.png,0,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_9899.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6735.png,1,0,1,1,0,0
gaus_images/gaus_frog_eye_leaf_spot_8332.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11161.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_9864.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6071.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_4036.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1823.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14166.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12676.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_8852.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_8250.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_6679.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_13089.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_14195.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_809.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_7930.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5403.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11749.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_8943.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_4284.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_7188.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1102.png,1,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_11549.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_1274.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_12820.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_5811.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_8604.png,0,0,1,0,0,0
gaus_images/gaus_frog_eye_leaf_spot_447.png,1,0,1,0,0,0
